epoch,out_0,out_1,step,train_loss
0,0.6675412654876709,0.49452918767929077,1,0.2555007338523865
1,0.5091477036476135,0.4521440863609314,3,0.30014610290527344
2,0.46695056557655334,0.439617395401001,5,0.31402865052223206
3,0.4566696286201477,0.44236910343170166,7,0.31095221638679504
4,0.4604130983352661,0.4524838328361511,9,0.2997739613056183
5,0.4703439176082611,0.4654240608215332,11,0.2857714295387268
6,0.482279509305954,0.4785005748271942,13,0.27196162939071655
7,0.4938511550426483,0.4901484251022339,15,0.25994864106178284
8,0.5037497878074646,0.4995407462120056,17,0.2504594624042511
9,0.5113444328308105,0.506354033946991,19,0.24368633329868317
10,0.5164543390274048,0.5106092095375061,21,0.23950333893299103
11,0.5191970467567444,0.512554407119751,23,0.23760320246219635
12,0.5198787450790405,0.5125765204429626,25,0.23758165538311005
13,0.5189120173454285,0.5111310482025146,27,0.2389928549528122
14,0.5167537331581116,0.5086896419525146,29,0.24138586223125458
15,0.5138571262359619,0.505698025226593,31,0.24433444440364838
16,0.5106357932090759,0.502547025680542,33,0.24745945632457733
17,0.5074401497840881,0.4995536804199219,35,0.25044652819633484
18,0.5045421123504639,0.4969518780708313,37,0.25305742025375366
19,0.5021302700042725,0.4948914051055908,39,0.2551347017288208
20,0.5003122687339783,0.49344393610954285,41,0.2565990090370178
21,0.4991229176521301,0.49261394143104553,43,0.2574406564235687
22,0.49853676557540894,0.4923519492149353,45,0.25770655274391174
23,0.49848246574401855,0.4925706684589386,47,0.2574845552444458
24,0.49885857105255127,0.49315953254699707,49,0.2568872570991516
25,0.49954754114151,0.49399852752685547,51,0.25603750348091125
26,0.500429093837738,0.4949706494808197,53,0.25505462288856506
27,0.5013907551765442,0.4959705173969269,55,0.2540457546710968
28,0.5023356080055237,0.4969111680984497,57,0.25309836864471436
29,0.5031871795654297,0.4977274537086487,59,0.2522777020931244
30,0.5038918256759644,0.4983774721622467,61,0.2516251802444458
31,0.504418671131134,0.49884113669395447,63,0.2511601746082306
32,0.5047577023506165,0.4991176426410675,65,0.25088316202163696
33,0.5049163699150085,0.4992218315601349,67,0.25077879428863525
34,0.5049157738685608,0.49918001890182495,69,0.25082066655158997
35,0.5047856569290161,0.4990251362323761,71,0.2509758472442627
36,0.504561185836792,0.4987930953502655,73,0.2512083351612091
37,0.5042780637741089,0.49851906299591064,75,0.25148314237594604
38,0.5039700269699097,0.49823498725891113,77,0.2517681419849396
39,0.5036661624908447,0.4979671239852905,79,0.25203701853752136
40,0.503389835357666,0.4977354109287262,81,0.2522697448730469
41,0.5031574368476868,0.4975530207157135,83,0.2524529993534088
42,0.5029787421226501,0.49742642045021057,85,0.2525802254676819
43,0.5028570294380188,0.49735647439956665,87,0.25265049934387207
44,0.5027908086776733,0.49733904004096985,89,0.2526680827140808
45,0.5027739405632019,0.497366726398468,91,0.2526402175426483
46,0.5027979016304016,0.4974299371242523,93,0.25257664918899536
47,0.502852201461792,0.4975179135799408,95,0.25248822569847107
48,0.5029263496398926,0.49762019515037537,97,0.2523854374885559
49,0.5030098557472229,0.49772700667381287,99,0.2522781193256378
50,0.5030938982963562,0.49783018231391907,101,0.2521745562553406
51,0.5031711459159851,0.49792346358299255,103,0.2520808279514313
52,0.5032362937927246,0.4980025291442871,105,0.25200146436691284
53,0.5032860636711121,0.4980650246143341,107,0.25193876028060913
54,0.5033190846443176,0.4981105327606201,109,0.2518930435180664
55,0.5033355355262756,0.4981398582458496,111,0.25186359882354736
56,0.503337025642395,0.4981550872325897,113,0.2518482804298401
57,0.5033258199691772,0.4981590211391449,115,0.2518443465232849
58,0.5033050775527954,0.4981546700000763,117,0.2518487572669983
59,0.5032779574394226,0.4981454312801361,119,0.2518579661846161
60,0.5032474994659424,0.49813413619995117,121,0.2518693506717682
61,0.503216564655304,0.4981234669685364,123,0.25188004970550537
62,0.5031874179840088,0.4981153607368469,125,0.2518881857395172
63,0.5031617879867554,0.49811139702796936,127,0.25189220905303955
64,0.5031409859657288,0.49811241030693054,129,0.2518911361694336
65,0.5031253695487976,0.49811863899230957,131,0.25188490748405457
66,0.5031150579452515,0.49813008308410645,133,0.2518734037876129
67,0.5031098127365112,0.49814602732658386,135,0.25185737013816833
68,0.5031089782714844,0.49816587567329407,137,0.25183752179145813
69,0.5031115412712097,0.49818867444992065,139,0.251814603805542
70,0.5031166076660156,0.498213529586792,141,0.2517896592617035
71,0.5031232237815857,0.4982394576072693,143,0.25176364183425903
72,0.5031306147575378,0.49826565384864807,145,0.2517373859882355
73,0.5031380653381348,0.4982915222644806,147,0.2517114281654358
74,0.5031448006629944,0.4983164966106415,149,0.25168630480766296
75,0.5031505227088928,0.49834033846855164,151,0.25166237354278564
76,0.5031549334526062,0.49836280941963196,153,0.2516399025917053
77,0.5031580924987793,0.498384028673172,155,0.2516186237335205
78,0.5031598806381226,0.49840399622917175,157,0.2515985071659088
79,0.5031605958938599,0.4984230399131775,159,0.2515794336795807
80,0.5031603574752808,0.49844127893447876,161,0.25156116485595703
81,0.5031595230102539,0.498459130525589,163,0.2515432834625244
82,0.5031582713127136,0.4984767735004425,165,0.2515255808830261
83,0.5031569600105286,0.49849462509155273,167,0.25150763988494873
84,0.5031559467315674,0.4985128343105316,169,0.2514893412590027
85,0.5031551122665405,0.49853143095970154,171,0.251470685005188
86,0.5031548738479614,0.49855080246925354,173,0.251451313495636
87,0.5031551122665405,0.49857082962989807,175,0.25143125653266907
88,0.5031560063362122,0.4985915720462799,177,0.25141045451164246
89,0.5031574368476868,0.4986130893230438,179,0.251388818025589
90,0.5031594634056091,0.49863526225090027,181,0.2513665556907654
91,0.5031619668006897,0.49865803122520447,183,0.2513437271118164
92,0.5031648278236389,0.49868133664131165,185,0.25132042169570923
93,0.5031681060791016,0.4987051486968994,187,0.2512965202331543
94,0.5031715035438538,0.49872931838035583,189,0.2512722611427307
95,0.5031751394271851,0.49875393509864807,191,0.2512476444244385
96,0.5031787753105164,0.49877873063087463,193,0.25122278928756714
97,0.5031824707984924,0.4988037943840027,195,0.2511976361274719
98,0.5031862258911133,0.498829185962677,197,0.25117218494415283
99,0.5031898617744446,0.49885472655296326,199,0.2511465549468994
100,0.5031934976577759,0.4988804757595062,201,0.25112074613571167
101,0.5031970739364624,0.49890655279159546,203,0.25109463930130005
102,0.5032005906105042,0.4989328980445862,205,0.25106823444366455
103,0.5032041072845459,0.49895960092544556,207,0.2510414719581604
104,0.5032075643539429,0.4989866614341736,209,0.2510143518447876
105,0.5032110810279846,0.49901410937309265,211,0.25098684430122375
106,0.5032146573066711,0.49904197454452515,213,0.25095894932746887
107,0.5032182335853577,0.4990704357624054,215,0.25093045830726624
108,0.503221869468689,0.4990992844104767,217,0.25090155005455017
109,0.5032256245613098,0.49912869930267334,219,0.25087204575538635
110,0.5032293796539307,0.49915868043899536,221,0.25084203481674194
111,0.5032332539558411,0.499189168214798,223,0.25081151723861694
112,0.5032370686531067,0.49922025203704834,225,0.2507803440093994
113,0.5032409429550171,0.49925196170806885,227,0.2507486045360565
114,0.503244936466217,0.49928417801856995,229,0.25071635842323303
115,0.5032488703727722,0.4993170499801636,231,0.25068342685699463
116,0.5032528042793274,0.49935051798820496,233,0.2506498694419861
117,0.5032567381858826,0.49938464164733887,235,0.2506157457828522
118,0.5032604336738586,0.49941936135292053,237,0.2505809962749481
119,0.503264307975769,0.4994548261165619,239,0.2505454421043396
120,0.5032679438591003,0.499490886926651,241,0.2505094110965729
121,0.5032715201377869,0.49952760338783264,243,0.25047263503074646
122,0.5032749772071838,0.49956512451171875,245,0.2504350543022156
123,0.5032781958580017,0.49960336089134216,247,0.2503967583179474
124,0.50328129529953,0.4996422529220581,249,0.25035786628723145
125,0.503284215927124,0.4996820092201233,251,0.25031808018684387
126,0.5032868981361389,0.49972254037857056,253,0.2502775490283966
